identifiant_commande;identifiant_client;identifiant_produit;quantite;prix_unitaire;date
OR007019;CL000061;PR000011;19;33.64;2023-03-18
OR007020;CL000001;PR000006;34;23.77;2023-03-18
OR007021;CL000100;PR000008;6;28.62;2023-03-18
OR007022;CL000014;PR000009;4;14.84;2023-03-18
OR007023;CL000075;PR000001;30;2.41;2023-03-19
OR007024;CL000056;PR000030;50;12.1;2023-03-19
OR007025;CL000100;PR000008;2;28.62;2023-03-19
OR007026;CL000003;PR000012;13;15.28;2023-03-19
OR007027;CL000092;PR000018;42;8.29;2023-03-19
OR007028;CL000008;PR000001;21;2.31;2023-03-19
OR007029;CL000055;PR000015;31;15.99;2023-03-19
OR007030;CL000079;PR000027;9;32.47;2023-03-19
OR007031;CL000016;PR000023;21;11.89;2023-03-20
OR007032;CL000019;PR000022;24;30.19;2023-03-20
OR007033;CL000004;PR000006;14;23.3;2023-03-20
OR007034;CL000050;PR000018;35;7.97;2023-03-20
OR007035;CL000005;PR000006;23;20.69;2023-03-20
OR007036;CL000005;PR000011;23;33.64;2023-03-20
OR007037;CL000061;PR000015;29;18.01;2023-03-20
OR007038;CL000063;PR000018;4;8.13;2023-03-20
OR007039;CL000062;PR000013;12;3.83;2023-03-20
OR007040;CL000050;PR000008;34;28.62;2023-03-20
OR007041;CL000100;PR000028;31;2.58;2023-03-20
OR007042;CL000029;PR000013;5;3.75;2023-03-21
OR007043;CL000004;PR000012;16;15.28;2023-03-21
OR007044;CL000026;PR000030;7;12.1;2023-03-21
OR007045;CL000052;PR000013;15;3.68;2023-03-21
OR007046;CL000005;PR000013;29;;2023-03-21
OR007047;CL000009;PR000009;40;15.14;2023-03-21
OR007048;CL000028;PR000011;40;33.64;2023-03-21
OR007049;CL000016;PR000008;36;28.06;2023-03-22
OR007050;CL000019;PR000024;9;12.05;2023-03-22
OR007051;CL000039;PR000006;34;24.25;2023-03-22
OR007052;CL000016;PR000012;20;14.98;2023-03-22
OR007053;CL000054;PR000003;13;27.35;2023-03-22
OR007054;CL000075;PR000001;43;2.41;2023-03-22
OR007055;CL000010;PR000031;33;10.08;2023-03-22
OR007056;CL000001;PR000030;50;12.1;2023-03-22
OR007057;CL000031;PR000015;47;17.66;2023-03-22
OR007058;CL000011;PR000015;33;16.97;2023-03-23
OR007059;CL000054;PR000004;43;9.39;2023-03-23
OR007060;CL000088;PR000005;48;10.62;2023-03-23
OR007061;CL000005;PR000016;18;6.38;2023-03-23
OR007062;CL000055;PR000004;6;9.21;2023-03-24
OR007063;CL000004;PR000001;6;2.31;2023-03-24
OR007064;CL000034;PR000028;13;2.53;2023-03-24
OR007065;CL000052;PR000009;46;14.84;2023-03-24
OR007066;CL000038;PR000011;14;33.64;2023-03-24
OR007067;CL000038;PR000023;17;13.13;2023-03-24
OR007068;CL000023;PR000015;29;16.31;2023-03-24
OR007069;CL000050;PR000003;14;26.28;2023-03-24
OR007070;CL000040;PR000009;38;15.14;2023-03-24
OR007071;CL000055;PR000019;16;22.5;2023-03-24
OR007072;CL000054;PR000013;21;3.75;2023-03-24
OR007073;CL000050;PR000001;33;2.36;2023-03-24
OR007074;CL000007;PR000005;18;10.62;2023-03-24
OR007075;CL000005;PR000006;48;20.69;2023-03-25
OR007076;CL000005;PR000012;9;14.98;2023-03-25
OR007077;CL000001;PR000003;32;26.28;2023-03-25
OR007078;CL000003;PR000003;2;26.28;2023-03-25
OR007079;CL000026;PR000008;43;28.06;2023-03-25
OR007080;CL000045;PR000011;7;33.64;2023-03-25
OR007081;CL000026;PR000028;37;2.53;2023-03-25
OR007082;CL000004;PR000004;20;9.21;2023-03-25
OR007083;CL000006;PR000001;30;2.41;2023-03-25
OR007084;CL000005;PR000004;38;9.03;2023-03-25
OR007085;CL000017;PR000009;40;15.14;2023-03-25
OR007086;CL000071;PR000009;43;14.84;2023-03-25
OR007087;CL000029;PR000006;1;24.25;2023-03-25
OR007088;CL000035;PR000015;48;17.66;2023-03-25
OR007089;CL000093;PR000012;19;15.59;2023-03-26
OR007090;CL000008;PR000021;24;33.63;2023-03-26
OR007091;CL000066;PR000002;1;13.92;2023-03-26
OR007092;CL000005;PR000006;5;21.1;2023-03-26
OR007093;CL000024;PR000027;30;31.83;2023-03-26
OR007094;CL000021;PR000027;45;31.83;2023-03-26
OR007095;CL000016;PR000023;4;11.89;2023-03-26
OR007096;CL000070;PR000011;31;33.64;2023-03-26
OR007097;CL000057;PR000015;16;18.01;2023-03-26
OR007098;CL000061;PR000002;30;14.2;2023-03-26
OR007099;CL000008;PR000028;31;2.53;2023-03-26
OR007100;CL000091;PR000011;47;33.64;2023-03-26
OR007101;CL000001;PR000011;9;33.64;2023-03-26
OR007102;CL000024;PR000009;47;14.84;2023-03-27
OR007103;CL000048;PR000004;25;9.58;2023-03-27
OR007104;CL000039;PR000001;24;2.41;2023-03-27
OR007105;CL000028;PR000009;6;15.14;2023-03-27
OR007106;CL000088;PR000001;37;2.41;2023-03-27
OR007107;CL000090;PR000006;39;24.73;2023-03-28
OR007108;CL000026;PR000001;16;2.31;2023-03-28
OR007109;CL000048;PR000006;12;25.72;2023-03-28
OR007110;CL000019;PR000027;24;31.83;2023-03-28
OR007111;CL000046;PR000015;37;18.01;2023-03-28
OR007112;CL000090;PR000023;50;13.13;2023-03-28
OR007113;CL000056;PR000006;33;23.77;2023-03-28
OR007114;CL000099;PR000017;42;25.42;2023-03-28
OR007115;CL000016;PR000030;32;12.1;2023-03-28
OR007116;CL000008;PR000016;6;6.38;2023-03-28
OR007117;CL000073;PR000027;40;32.47;2023-03-29
OR007118;CL000010;PR000015;13;15.99;2023-03-29
OR007119;CL000008;PR000026;29;10.93;2023-03-29
OR007120;CL000055;PR000029;22;26.85;2023-03-29
OR007121;CL000016;PR000006;19;21.52;2023-03-29
OR007122;CL000045;PR000009;30;15.14;2023-03-30
OR007123;CL000005;PR000028;14;2.53;2023-03-30
OR007124;CL000036;PR000026;49;11.15;2023-03-30
OR007125;CL000024;PR000007;33;24.02;2023-03-30
OR007126;CL000016;PR000006;32;21.1;2023-03-30
OR007127;CL000079;PR000025;24;26.41;2023-03-30
OR007128;CL000092;PR000028;8;2.58;2023-03-31
OR007129;CL000043;PR000014;34;34.41;2023-03-31
OR007130;CL000063;PR000006;27;23.77;2023-03-31
OR007131;CL000004;PR000016;42;6.38;2023-03-31
OR007132;CL000071;PR000009;6;14.84;2023-03-31
OR007133;CL000044;PR000026;15;11.15;2023-03-31
OR007134;CL000081;PR000016;38;6.77;2023-03-31
OR007135;CL000068;PR000003;50;27.35;2023-03-31
OR007136;CL000052;PR000016;44;6.51;2023-03-31
OR007137;CL000023;PR000006;4;24.25;2023-03-31
OR007138;CL000099;PR000030;28;12.1;2023-03-31
OR007139;CL000016;PR000028;43;2.53;2023-03-31
OR007140;CL000016;PR000001;15;2.31;2023-04-01
OR007141;CL000026;PR000007;32;24.02;2023-04-01
OR007142;CL000097;PR000015;8;17.66;2023-04-01
OR007143;CL000005;PR000011;2;33.64;2023-04-01
OR007144;CL000044;PR000001;9;2.41;2023-04-01
OR007145;CL000016;PR000009;26;13.98;2023-04-01
OR007146;CL000028;PR000001;39;2.51;2023-04-01
OR007147;CL000019;PR000023;35;11.89;2023-04-01
OR007148;CL000090;PR000012;47;15.28;2023-04-01
OR007149;CL000081;PR000015;8;18.01;2023-04-01
OR007150;CL000011;PR000029;26;26.85;2023-04-01
OR007151;CL000090;PR000012;7;15.28;2023-04-01
OR007152;CL000066;PR000027;23;31.83;2023-04-02
OR007153;CL000027;PR000022;2;30.19;2023-04-02
OR007154;CL000005;PR000001;11;2.31;2023-04-02
OR007155;CL000003;PR000013;10;3.61;2023-04-02
OR007156;CL000057;PR000005;14;10.62;2023-04-02
OR007157;CL000021;PR000006;23;24.73;2023-04-02
OR007158;CL000056;PR000011;27;33.64;2023-04-02
OR007159;CL000026;PR000001;43;2.31;2023-04-02
OR007160;CL000022;PR000013;28;3.99;2023-04-02
OR007161;CL000083;PR000027;11;33.78;2023-04-02
OR007162;CL000007;PR000003;33;;2023-04-02
OR007163;CL000016;PR000008;23;28.06;2023-04-02
OR007164;CL000008;PR000004;31;9.21;2023-04-03
OR007165;CL000004;PR000023;44;11.89;2023-04-03
OR007166;CL000047;PR000006;5;26.23;2023-04-03
OR007167;CL000043;PR000015;31;17.66;2023-04-03
OR007168;CL000073;PR000027;6;32.47;2023-04-03
OR007169;CL000016;PR000015;1;15.99;2023-04-03
OR007170;CL000057;PR000015;5;18.01;2023-04-03
OR007171;CL000026;PR000004;12;9.21;2023-04-03
OR007172;CL000005;PR000028;28;2.53;2023-04-04
OR007173;CL000056;PR000003;13;26.81;2023-04-04
OR007174;CL000008;PR000009;27;13.98;2023-04-04
OR007175;CL000008;PR000008;4;28.06;2023-04-04
OR007176;CL000026;PR000001;39;2.31;2023-04-04
OR007177;CL000005;PR000018;50;7.66;2023-04-04
OR007178;CL000052;PR000005;33;10.62;2023-04-04
OR007179;CL000026;PR000006;11;21.95;2023-04-05
OR007180;CL000008;PR000015;32;15.99;2023-04-05
OR007181;CL000067;PR000013;10;3.99;2023-04-05
OR007182;CL000016;PR000028;12;2.53;2023-04-05
OR007183;CL000045;PR000009;38;15.14;2023-04-05
OR007184;CL000026;PR000013;35;3.54;2023-04-05
OR007185;CL000005;PR000001;47;2.31;2023-04-05
OR007186;CL000002;PR000016;36;6.51;2023-04-05
OR007187;CL000016;PR000015;12;15.99;2023-04-05
OR007188;CL000099;PR000004;26;9.39;2023-04-06
OR007189;CL000028;PR000008;2;28.62;2023-04-06
OR007190;CL000029;PR000001;50;2.41;2023-04-06
OR007191;CL000094;PR000003;3;27.35;2023-04-06
OR007192;CL000005;PR000019;44;21.63;2023-04-06
OR007193;CL000051;PR000020;32;14.79;2023-04-06
OR007194;CL000006;PR000024;41;12.05;2023-04-06
OR007195;CL000043;PR000027;39;31.83;2023-04-07
OR007196;CL000084;PR000001;14;2.51;2023-04-07
OR007197;CL000084;PR000004;12;9.77;2023-04-07
OR007198;CL000023;PR000025;41;26.41;2023-04-07
OR007199;CL000072;PR000013;42;3.75;2023-04-07
OR007200;CL000016;PR000008;39;28.06;2023-04-07
OR007201;CL000001;PR000015;24;15.99;2023-04-07
OR007202;CL000092;PR000014;1;34.41;2023-04-07
OR007203;CL000028;PR000014;30;34.41;2023-04-08
OR007204;CL000021;PR000014;48;34.41;2023-04-08
OR007205;CL000004;PR000002;28;13.92;2023-04-08
OR007206;CL000008;PR000006;20;21.52;2023-04-08
OR007207;CL000063;PR000004;24;9.39;2023-04-08
OR007208;CL000051;PR000004;47;9.39;2023-04-08
OR007209;CL000024;PR000003;39;26.81;2023-04-08
OR007210;CL000061;PR000013;2;4.07;2023-04-08
OR007211;CL000003;PR000028;49;2.53;2023-04-09
OR007212;CL000016;PR000004;9;9.21;2023-04-09
OR007213;CL000081;PR000012;10;15.28;2023-04-09
OR007214;CL000029;PR000008;38;28.62;2023-04-09
OR007215;CL000026;PR000014;50;31.17;2023-04-09
OR007216;CL000005;PR000005;19;10.62;2023-04-09
OR007217;CL000005;PR000006;13;20.69;2023-04-10
OR007218;CL000062;PR000004;46;9.39;2023-04-10
OR007219;CL000096;PR000001;17;2.46;2023-04-10
OR007220;CL000047;PR000009;21;15.14;2023-04-10
OR007221;CL000003;PR000030;34;12.1;2023-04-10
OR007222;CL000016;PR000013;27;3.54;2023-04-10
OR007223;CL000090;PR000017;4;25.42;2023-04-10
OR007224;CL000008;PR000016;25;6.38;2023-04-10
OR007225;CL000016;PR000009;5;13.98;2023-04-10
OR007226;CL000025;PR000020;12;14.79;2023-04-11
OR007227;CL000039;PR000006;43;24.25;2023-04-11
OR007228;CL000055;PR000015;19;15.99;2023-04-11
OR007229;CL000052;PR000018;44;8.13;2023-04-11
OR007230;CL000041;PR000006;16;24.73;2023-04-11
OR007231;CL000027;PR000011;49;33.64;2023-04-11
OR007232;CL000066;PR000009;8;15.14;2023-04-11
OR007233;CL000050;PR000017;20;24.92;2023-04-11
OR007234;CL000001;PR000010;27;20.86;2023-04-11
OR007235;CL000026;PR000026;20;10.93;2023-04-12
OR007236;CL000008;PR000019;22;22.06;2023-04-12
OR007237;CL000036;PR000002;37;14.2;2023-04-12
OR007238;CL000008;PR000027;25;31.83;2023-04-12
OR007239;CL000091;PR000004;29;9.77;2023-04-12
OR007240;CL000005;PR000013;12;3.54;2023-04-12
OR007241;CL000019;PR000006;6;23.3;2023-04-12
OR007242;CL000004;PR000001;37;2.31;2023-04-13
OR007243;CL000099;PR000014;23;34.41;2023-04-13
OR007244;CL000016;PR000008;47;28.06;2023-04-13
OR007245;CL000019;PR000004;38;9.21;2023-04-13
OR007246;CL000026;PR000001;15;2.31;2023-04-13
OR007247;CL000038;PR000012;16;15.28;2023-04-13
OR007248;CL000019;PR000022;1;30.19;2023-04-13
OR007249;CL000023;PR000022;39;30.19;2023-04-13
OR007250;CL000092;PR000011;33;33.64;2023-04-13
OR007251;CL000036;PR000001;43;2.41;2023-04-14
OR007252;CL000035;PR000009;2;15.14;2023-04-14
OR007253;CL000055;PR000001;36;2.31;2023-04-14
OR007254;CL000011;PR000004;27;9.39;2023-04-14
OR007255;CL000063;PR000016;25;6.51;2023-04-14
OR007256;CL000056;PR000010;44;20.86;2023-04-14
OR007257;CL000099;PR000017;9;25.42;2023-04-14
OR007258;CL000034;PR000012;34;15.28;2023-04-14
OR007259;CL000098;PR000019;48;23.41;2023-04-14
OR007260;CL000044;PR000021;48;33.63;2023-04-15
OR007261;CL000044;PR000006;10;24.25;2023-04-15
OR007262;CL000024;PR000015;25;15.99;2023-04-15
OR007263;CL000016;PR000027;29;31.83;2023-04-16
OR007264;CL000016;PR000018;37;7.66;2023-04-16
OR007265;CL000042;PR000020;49;14.79;2023-04-16
OR007266;CL000019;PR000001;5;2.36;2023-04-16
OR007267;CL000027;PR000009;12;14.84;2023-04-16
OR007268;CL000005;PR000004;25;8.85;2023-04-16
OR007269;CL000092;PR000013;13;3.91;2023-04-16
OR007270;CL000008;PR000031;49;10.08;2023-04-16
OR007271;CL000023;PR000028;9;2.53;2023-04-16
OR007272;CL000056;PR000014;13;32.43;2023-04-16
OR007273;CL000026;PR000027;40;31.83;2023-04-16
OR007274;CL000092;PR000004;45;9.58;2023-04-17
OR007275;CL000026;PR000015;49;15.99;2023-04-17
OR007276;CL000004;PR000015;15;15.99;2023-04-17
OR007277;CL000052;PR000027;48;31.83;2023-04-17
OR007278;CL000076;PR000014;40;34.41;2023-04-17
OR007279;CL000025;PR000018;30;8.29;2023-04-17
OR007280;CL000087;PR000010;35;21.71;2023-04-18
OR007281;CL000005;PR000006;34;20.69;2023-04-18
OR007282;CL000071;PR000017;1;24.92;2023-04-18
OR007283;CL000066;PR000029;45;26.85;2023-04-18
OR007284;CL000026;PR000028;14;2.53;2023-04-18
OR007285;CL000012;PR000018;48;8.29;2023-04-19
OR007286;CL000032;PR000030;43;12.1;2023-04-19
OR007287;CL000016;PR000015;45;15.99;2023-04-19
OR007288;CL000013;PR000009;35;14.55;2023-04-19
OR007289;CL000043;PR000002;22;14.2;2023-04-19
OR007290;CL000010;PR000028;9;2.53;2023-04-19
OR007291;CL000016;PR000009;10;13.98;2023-04-19
OR007292;CL000059;PR000009;8;15.14;2023-04-19
OR007293;CL000023;PR000014;43;33.08;2023-04-19
OR007294;CL000075;PR000028;32;2.53;2023-04-20
OR007295;CL000043;PR000002;6;14.2;2023-04-20
OR007296;CL000040;PR000013;25;3.75;2023-04-20
OR007297;CL000055;PR000009;22;14.26;2023-04-20
OR007298;CL000042;PR000015;20;16.64;2023-04-20
OR007299;CL000008;PR000029;12;26.85;2023-04-20
OR007300;CL000062;PR000006;46;24.73;2023-04-20
OR007301;CL000026;PR000010;28;20.86;2023-04-21
OR007302;CL000010;PR000009;28;14.84;2023-04-21
OR007303;CL000005;PR000016;5;6.38;2023-04-21
OR007304;CL000096;PR000001;40;2.46;2023-04-21
OR007305;CL000074;PR000014;46;34.41;2023-04-21
OR007306;CL000054;PR000019;16;22.95;2023-04-21
OR007307;CL000073;PR000028;5;2.58;2023-04-21
OR007308;CL000055;PR000009;12;14.26;2023-04-22
OR007309;CL000079;PR000016;26;6.64;2023-04-22
OR007310;CL000087;PR000013;24;4.07;2023-04-22
OR007311;CL000099;PR000016;22;6.64;2023-04-22
OR007312;CL000038;PR000019;41;23.41;2023-04-22
OR007313;CL000059;PR000015;1;17.66;2023-04-22
OR007314;CL000040;PR000020;10;14.79;2023-04-22
OR007315;CL000091;PR000026;40;11.15;2023-04-22
OR007316;CL000003;PR000002;37;13.92;2023-04-23
OR007317;CL000071;PR000028;21;2.53;2023-04-23
OR007318;CL000026;PR000023;49;11.89;2023-04-23
OR007319;CL000072;PR000014;49;34.41;2023-04-23
OR007320;CL000037;PR000020;4;14.79;2023-04-23
OR007321;CL000034;PR000015;49;16.97;2023-04-23
OR007322;CL000016;PR000014;37;31.17;2023-04-23
OR007323;CL000090;PR000002;14;14.2;2023-04-23
OR007324;CL000026;PR000015;48;15.99;2023-04-23
OR007325;CL000075;PR000013;45;3.83;2023-04-23
OR007326;CL000060;PR000007;44;24.02;2023-04-23
OR007327;CL000026;PR000023;20;11.89;2023-04-23
OR007328;CL000083;PR000027;29;33.78;2023-04-23
OR007329;CL000027;PR000014;49;33.08;2023-04-23
OR007330;CL000008;PR000010;3;20.86;2023-04-23
OR007331;CL000005;PR000021;39;33.63;2023-04-24
OR007332;CL000005;PR000008;24;27.51;2023-04-24
OR007333;CL000051;PR000001;43;2.46;2023-04-24
OR007334;CL000005;PR000007;6;24.02;2023-04-24
OR007335;CL000074;PR000001;17;2.51;2023-04-24
OR007336;CL000008;PR000009;47;14.26;2023-04-24
OR007337;CL000005;PR000009;37;13.98;2023-04-24
OR007338;CL000055;PR000015;28;15.99;2023-04-24
OR007339;CL000050;PR000009;27;14.84;2023-04-24
OR007340;CL000058;PR000001;23;2.51;2023-04-24
OR007341;CL000084;PR000031;30;10.28;2023-04-25
OR007342;CL000100;PR000012;20;15.28;2023-04-25
OR007343;CL000040;PR000024;3;12.29;2023-04-25
OR007344;CL000019;PR000028;49;2.53;2023-04-25
OR007345;CL000025;PR000001;24;2.41;2023-04-25
OR007346;CL000016;PR000014;47;30.56;2023-04-25
OR007347;CL000005;PR000001;41;2.26;2023-04-25
OR007348;CL000008;PR000015;46;15.99;2023-04-25
OR007349;CL000065;PR000001;6;2.51;2023-04-26
OR007350;CL000066;PR000002;37;13.92;2023-04-26
OR007351;CL000052;PR000015;13;16.31;2023-04-26
OR007352;CL000005;PR000020;15;14.5;2023-04-26
OR007353;CL000005;PR000006;39;20.69;2023-04-26
OR007354;CL000019;PR000029;3;26.85;2023-04-27
OR007355;CL000016;PR000016;4;6.38;2023-04-27
OR007356;CL000016;PR000016;19;6.38;2023-04-27
OR007357;CL000021;PR000003;40;27.35;2023-04-27
OR007358;CL000038;PR000003;14;27.35;2023-04-27
OR007359;CL000051;PR000015;37;;2023-04-27
OR007360;CL000076;PR000013;22;3.91;2023-04-27
OR007361;CL000016;PR000001;23;2.31;2023-04-27
OR007362;CL000019;PR000003;10;26.28;2023-04-27
OR007363;CL000001;PR000001;7;2.36;2023-04-27
OR007364;CL000056;PR000030;34;12.1;2023-04-27
OR007365;CL000063;PR000002;21;13.92;2023-04-27
OR007366;CL000005;PR000018;46;7.66;2023-04-27
OR007367;CL000005;PR000004;13;9.03;2023-04-27
OR007368;CL000010;PR000004;5;9.21;2023-04-27
OR007369;CL000019;PR000002;18;13.92;2023-04-28
OR007370;CL000005;PR000028;26;2.53;2023-04-28
OR007371;CL000005;PR000006;18;20.69;2023-04-28
OR007372;CL000019;PR000006;22;23.3;2023-04-28
OR007373;CL000002;PR000018;26;7.97;2023-04-28
OR007374;CL000013;PR000006;25;23.3;2023-04-28
OR007375;CL000053;PR000019;37;23.41;2023-04-28
OR007376;CL000003;PR000005;44;10.62;2023-04-28
OR007377;CL000093;PR000023;27;13.13;2023-04-28
OR007378;CL000022;PR000002;7;14.2;2023-04-29
OR007379;CL000026;PR000002;7;13.92;2023-04-29
OR007380;CL000026;PR000017;9;24.43;2023-04-29
OR007381;CL000024;PR000006;29;23.77;2023-04-29
OR007382;CL000020;PR000015;1;17.66;2023-04-29
OR007383;CL000050;PR000024;2;12.05;2023-04-29
OR007384;CL000030;PR000008;21;28.62;2023-04-29
OR007385;CL000015;PR000008;36;28.62;2023-04-29
OR007386;CL000005;PR000028;49;2.53;2023-04-30
OR007387;CL000026;PR000009;32;14.26;2023-04-30
OR007388;CL000005;PR000029;24;26.85;2023-04-30
OR007389;CL000005;PR000023;20;11.66;2023-04-30
OR007390;CL000003;PR000027;30;31.83;2023-04-30
OR007391;CL000067;PR000013;15;3.99;2023-04-30
OR007392;CL000018;PR000019;43;22.95;2023-04-30
OR007393;CL000016;PR000003;40;26.28;2023-04-30
OR007394;CL000026;PR000015;1;15.99;2023-04-30
OR007395;CL000097;PR000003;3;27.35;2023-05-01
OR007396;CL000003;PR000016;43;6.38;2023-05-01
OR007397;CL000005;PR000006;10;20.69;2023-05-01
OR007398;CL000035;PR000016;27;6.77;2023-05-01
OR007399;CL000028;PR000003;10;27.9;2023-05-01
OR007400;CL000092;PR000009;9;15.14;2023-05-02
OR007401;CL000087;PR000012;26;15.28;2023-05-02
OR007402;CL000016;PR000004;41;9.21;2023-05-02
OR007403;CL000019;PR000027;50;31.83;2023-05-02
OR007404;CL000011;PR000015;14;16.97;2023-05-02
OR007405;CL000035;PR000010;8;21.28;2023-05-02
OR007406;CL000066;PR000004;35;9.39;2023-05-02
OR007407;CL000056;PR000011;15;33.64;2023-05-02
OR007408;CL000042;PR000010;8;21.28;2023-05-02
OR007409;CL000013;PR000006;5;23.3;2023-05-03
OR007410;CL000053;PR000002;37;14.2;2023-05-03
OR007411;CL000098;PR000013;34;4.07;2023-05-03
OR007412;CL000053;PR000011;15;33.64;2023-05-03
OR007413;CL000040;PR000030;31;12.1;2023-05-03
OR007414;CL000005;PR000014;21;30.56;2023-05-03
OR007415;CL000013;PR000003;24;26.28;2023-05-04
OR007416;CL000039;PR000006;11;24.25;2023-05-04
OR007417;CL000004;PR000003;16;26.28;2023-05-04
OR007418;CL000043;PR000021;16;33.63;2023-05-04
OR007419;CL000044;PR000006;49;24.25;2023-05-04
OR007420;CL000081;PR000023;1;13.13;2023-05-04
OR007421;CL000022;PR000010;7;21.28;2023-05-05
OR007422;CL000071;PR000003;29;26.81;2023-05-05
OR007423;CL000024;PR000025;32;26.41;2023-05-05
OR007424;CL000016;PR000018;47;7.66;2023-05-05
OR007425;CL000087;PR000001;14;2.51;2023-05-05
OR007426;CL000099;PR000010;8;21.28;2023-05-05
OR007427;CL000036;PR000005;12;10.62;2023-05-05
OR007428;CL000099;PR000001;22;2.41;2023-05-05
OR007429;CL000005;PR000001;1;2.31;2023-05-05
OR007430;CL000010;PR000020;48;14.79;2023-05-05
OR007431;CL000047;PR000008;49;28.62;2023-05-06
OR007432;CL000017;PR000003;35;27.35;2023-05-06
OR007433;CL000075;PR000024;14;12.29;2023-05-06
OR007434;CL000005;PR000003;19;26.28;2023-05-06
OR007435;CL000013;PR000009;2;14.55;2023-05-06
OR007436;CL000013;PR000027;26;31.83;2023-05-07
OR007437;CL000029;PR000030;22;12.1;2023-05-07
OR007438;CL000007;PR000006;29;24.25;2023-05-07
OR007439;CL000092;PR000015;14;17.66;2023-05-07
OR007440;CL000023;PR000003;35;27.35;2023-05-07
OR007441;CL000038;PR000006;20;25.22;2023-05-07
OR007442;CL000055;PR000015;18;15.99;2023-05-07
OR007443;CL000010;PR000027;6;31.83;2023-05-07
OR007444;CL000013;PR000015;8;15.99;2023-05-08
OR007445;CL000054;PR000013;45;3.75;2023-05-08
OR007446;CL000092;PR000004;39;9.58;2023-05-08
OR007447;CL000001;PR000001;31;2.36;2023-05-08
OR007448;CL000064;PR000009;45;15.14;2023-05-08
OR007449;CL000053;PR000004;49;9.58;2023-05-08
OR007450;CL000063;PR000009;25;14.84;2023-05-08
OR007451;CL000042;PR000005;13;10.62;2023-05-08
OR007452;CL000063;PR000016;19;6.51;2023-05-08
OR007453;CL000079;PR000007;8;24.02;2023-05-09
OR007454;CL000025;PR000003;13;27.35;2023-05-09
OR007455;CL000013;PR000013;45;3.61;2023-05-09
OR007456;CL000050;PR000027;44;31.83;2023-05-09
OR007457;CL000026;PR000016;47;6.38;2023-05-09
OR007458;CL000078;PR000030;30;12.1;2023-05-09
OR007459;CL000027;PR000018;34;8.29;2023-05-09
OR007460;CL000005;PR000006;44;20.69;2023-05-09
OR007461;CL000005;PR000030;47;12.1;2023-05-09
OR007462;CL000016;PR000008;42;28.06;2023-05-09
OR007463;CL000052;PR000029;18;26.85;2023-05-09
OR007464;CL000029;PR000004;38;9.39;2023-05-09
OR007465;CL000036;PR000018;33;8.29;2023-05-09
OR007466;CL000008;PR000006;2;21.52;2023-05-09
OR007467;CL000058;PR000023;49;13.13;2023-05-10
OR007468;CL000010;PR000006;14;23.77;2023-05-10
OR007469;CL000090;PR000027;5;32.47;2023-05-10
OR007470;CL000006;PR000013;24;3.75;2023-05-10
OR007471;CL000075;PR000023;37;13.13;2023-05-10
OR007472;CL000026;PR000024;24;12.05;2023-05-10
OR007473;CL000019;PR000006;23;23.3;2023-05-10
OR007474;CL000005;PR000018;25;7.66;2023-05-11
OR007475;CL000055;PR000022;2;30.19;2023-05-11
OR007476;CL000005;PR000025;13;26.41;2023-05-11
OR007477;CL000016;PR000006;28;21.52;2023-05-11
OR007478;CL000008;PR000028;34;2.53;2023-05-11
OR007479;CL000024;PR000025;24;26.41;2023-05-11
OR007480;CL000026;PR000005;35;10.62;2023-05-11
OR007481;CL000066;PR000023;34;12.62;2023-05-11
OR007482;CL000026;PR000009;43;14.26;2023-05-11
OR007483;CL000029;PR000017;14;25.42;2023-05-11
OR007484;CL000077;PR000018;26;8.29;2023-05-11
OR007485;CL000019;PR000006;31;23.3;2023-05-11
OR007486;CL000008;PR000002;2;13.92;2023-05-11
OR007487;CL000042;PR000001;14;2.41;2023-05-12
OR007488;CL000004;PR000009;36;14.26;2023-05-12
OR007489;CL000086;PR000006;48;25.72;2023-05-12
OR007490;CL000054;PR000006;46;24.25;2023-05-12
OR007491;CL000049;PR000009;21;15.14;2023-05-12
OR007492;CL000056;PR000013;11;3.61;2023-05-12
OR007493;CL000054;PR000016;27;6.64;2023-05-12
OR007494;CL000050;PR000003;1;26.28;2023-05-12
OR007495;CL000004;PR000011;39;33.64;2023-05-13
OR007496;CL000026;PR000013;35;;2023-05-13
OR007497;CL000044;PR000018;10;8.29;2023-05-13
OR007498;CL000050;PR000027;7;31.83;2023-05-13
OR007499;CL000097;PR000008;2;28.62;2023-05-13
OR007500;CL000026;PR000017;50;24.43;2023-05-13
OR007501;CL000056;PR000002;36;13.92;2023-05-13
OR007502;CL000058;PR000027;4;33.78;2023-05-13
OR007503;CL000015;PR000011;17;33.64;2023-05-13
OR007504;CL000008;PR000001;12;2.31;2023-05-14
OR007505;CL000055;PR000008;16;28.06;2023-05-14
OR007506;CL000048;PR000027;49;33.78;2023-05-14
OR007507;CL000003;PR000030;37;12.1;2023-05-14
OR007508;CL000019;PR000006;23;23.3;2023-05-14
OR007509;CL000026;PR000006;37;21.95;2023-05-14
OR007510;CL000070;PR000015;45;16.97;2023-05-14
OR007511;CL000005;PR000011;18;33.64;2023-05-14
OR007512;CL000023;PR000005;22;10.62;2023-05-15
OR007513;CL000005;PR000027;44;31.21;2023-05-15
OR007514;CL000008;PR000016;28;6.38;2023-05-15
OR007515;CL000004;PR000014;21;31.17;2023-05-15
OR007516;CL000005;PR000016;37;6.38;2023-05-15
OR007517;CL000005;PR000028;48;2.53;2023-05-16
